DIS_LOSS_REAL: 1.3907215595, DIS_LOSS_FAKE: 0.159656629, TOTAL: 0.7751890942624999, GEN_LOSS_BATCH: 2.1243882179
DIS_LOSS_REAL: 1.5255436897, DIS_LOSS_FAKE: 0.1264385581, TOTAL: 0.825991123914, GEN_LOSS_BATCH: 2.323225975
DIS_LOSS_REAL: 1.6473953724, DIS_LOSS_FAKE: 0.137922585, TOTAL: 0.8926589786954999, GEN_LOSS_BATCH: 2.2528114319
DIS_LOSS_REAL: 1.7009488344, DIS_LOSS_FAKE: 0.1177358925, TOTAL: 0.9093423634595, GEN_LOSS_BATCH: 2.5240397453
DIS_LOSS_REAL: 1.9196853638, DIS_LOSS_FAKE: 0.060474582, TOTAL: 0.990079972885, GEN_LOSS_BATCH: 3.0765492916
DIS_LOSS_REAL: 1.4326741695, DIS_LOSS_FAKE: 0.1536913514, TOTAL: 0.79318276047, GEN_LOSS_BATCH: 2.3261194229
DIS_LOSS_REAL: 1.518357873, DIS_LOSS_FAKE: 0.1300279945, TOTAL: 0.8241929337315, GEN_LOSS_BATCH: 2.3663547039
DIS_LOSS_REAL: 1.5588150024, DIS_LOSS_FAKE: 0.1328373253, TOTAL: 0.8458261638704999, GEN_LOSS_BATCH: 2.2813570499
DIS_LOSS_REAL: 1.6541748047, DIS_LOSS_FAKE: 0.103402257, TOTAL: 0.878788530844, GEN_LOSS_BATCH: 2.6252567768
DIS_LOSS_REAL: 1.6225910187, DIS_LOSS_FAKE: 0.1056445837, TOTAL: 0.8641178011885, GEN_LOSS_BATCH: 2.4667334557
DIS_LOSS_REAL: 1.0889220238, DIS_LOSS_FAKE: 0.2241590172, TOTAL: 0.6565405204865, GEN_LOSS_BATCH: 1.8170390129
DIS_LOSS_REAL: 1.5566731691, DIS_LOSS_FAKE: 0.1062673405, TOTAL: 0.8314702548180001, GEN_LOSS_BATCH: 2.5200088024
DIS_LOSS_REAL: 1.9007985592, DIS_LOSS_FAKE: 0.0944206268, TOTAL: 0.9976095929945, GEN_LOSS_BATCH: 2.6725101471
DIS_LOSS_REAL: 1.4697546959, DIS_LOSS_FAKE: 0.1536054313, TOTAL: 0.811680063596, GEN_LOSS_BATCH: 2.1314921379
DIS_LOSS_REAL: 1.7644035816, DIS_LOSS_FAKE: 0.0951867327, TOTAL: 0.9297951571595, GEN_LOSS_BATCH: 2.6478407383
DIS_LOSS_REAL: 1.39234519, DIS_LOSS_FAKE: 0.1836936772, TOTAL: 0.788019433624, GEN_LOSS_BATCH: 2.0093812943
DIS_LOSS_REAL: 1.457480669, DIS_LOSS_FAKE: 0.0982054025, TOTAL: 0.777843035761, GEN_LOSS_BATCH: 2.6900286674
DIS_LOSS_REAL: 1.4629211426, DIS_LOSS_FAKE: 0.154227972, TOTAL: 0.808574557289, GEN_LOSS_BATCH: 2.1387152672
DIS_LOSS_REAL: 1.9694898129, DIS_LOSS_FAKE: 0.1015278623, TOTAL: 1.0355088375755002, GEN_LOSS_BATCH: 2.5994195938
